"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 13, 2020","2,711.02","2,569.99","2,711.33","2,492.37","-","9.29%"
"Mar 12, 2020","2,480.64","2,630.86","2,660.95","2,478.86","-","-9.51%"
"Mar 11, 2020","2,741.38","2,825.60","2,825.60","2,707.22","-","-4.89%"
"Mar 10, 2020","2,882.23","2,813.48","2,882.59","2,734.00","-","4.94%"
"Mar 09, 2020","2,746.56","2,863.89","2,863.89","2,734.43","-","-7.60%"
"Mar 06, 2020","2,972.37","2,954.20","2,985.93","2,901.54","-","-1.71%"
"Mar 05, 2020","3,023.94","3,075.70","3,083.04","2,999.83","-","-3.39%"
"Mar 04, 2020","3,130.12","3,045.75","3,130.97","3,034.38","-","4.22%"
"Mar 03, 2020","3,003.37","3,096.46","3,136.72","2,976.63","-","-2.81%"
"Mar 02, 2020","3,090.23","2,974.28","3,090.96","2,945.19","-","4.60%"
"Feb 28, 2020","2,954.22","2,916.90","2,959.72","2,855.84","-","-0.82%"
"Feb 27, 2020","2,978.76","3,062.54","3,097.07","2,977.39","-","-4.42%"
"Feb 26, 2020","3,116.39","3,139.90","3,182.51","3,108.99","-","-0.38%"
"Feb 25, 2020","3,128.21","3,238.94","3,246.99","3,118.77","-","-3.03%"
"Feb 24, 2020","3,225.89","3,257.61","3,259.81","3,214.65","-","-3.35%"
"Feb 21, 2020","3,337.75","3,360.50","3,360.76","3,328.45","-","-1.05%"
"Feb 20, 2020","3,373.23","3,380.45","3,389.15","3,341.02","-","-0.38%"
"Feb 19, 2020","3,386.15","3,380.39","3,393.52","3,378.83","-","0.47%"
"Feb 18, 2020","3,370.29","3,369.04","3,375.01","3,355.61","-","-0.29%"
"Feb 14, 2020","3,380.16","3,378.08","3,380.69","3,366.15","-","0.18%"
"Feb 13, 2020","3,373.94","3,365.90","3,385.09","3,360.52","-","-0.16%"
"Feb 12, 2020","3,379.45","3,370.50","3,381.47","3,369.72","-","0.65%"
"Feb 11, 2020","3,357.75","3,365.87","3,375.63","3,352.72","-","0.17%"
"Feb 10, 2020","3,352.09","3,318.28","3,352.26","3,317.77","-","0.73%"
"Feb 07, 2020","3,327.71","3,335.54","3,341.42","3,322.12","-","-0.54%"
"Feb 06, 2020","3,345.78","3,344.92","3,347.96","3,334.39","-","0.33%"
"Feb 05, 2020","3,334.69","3,324.91","3,337.58","3,313.75","-","1.13%"
"Feb 04, 2020","3,297.59","3,280.61","3,306.92","3,280.61","-","1.50%"
"Feb 03, 2020","3,248.92","3,235.66","3,268.44","3,235.66","-","0.73%"
"Jan 31, 2020","3,225.52","3,282.33","3,282.33","3,214.68","-","-1.77%"
"Jan 30, 2020","3,283.66","3,256.45","3,285.91","3,242.80","-","0.31%"
"Jan 29, 2020","3,273.40","3,289.46","3,293.47","3,271.89","-","-0.09%"
"Jan 28, 2020","3,276.24","3,255.35","3,285.78","3,253.22","-","1.01%"
"Jan 27, 2020","3,243.63","3,247.16","3,258.85","3,234.50","-","-1.57%"
